Timestamp,Angkatan ,Program Studi ,"Yang dimaksud Aktif adalah mahasiswa yang saat ini sedang menjabat/menjadi panitia inti/rutin berpartisipasi dalam kegiatan organisasi (BEM, Himpunan, UKM, atau Organisasi Eksternal) minimal selama satu semester terakhir.  


Pertayaan :  Saat ini, apakah Anda aktif dalam kegiatan organisasi kemahasiswaan (di dalam maupun luar kampus)? ",Berapa Indeks Prestasi Kumulatif (IPK) Anda saat ini? (Gunakan nilai IPK hingga semester terakhir yang telah diumumkan.)  ,Seberapa puas Anda dengan Indeks Prestasi Kumulatif (IPK) saat ini?  ,"Menurut pandangan Anda, seberapa besar pengaruh keaktifan berorganisasi terhadap nilai IPK atau IPS mahasiswa?  "
04/12/2025 9:25:23,2024,Ilmu Komputer,Aktif,2.50-2.99,Kurang Memuaskan,Tidak ada Pengaruh
04/12/2025 9:30:48,2023,Komunikasi,Aktif,>3.50,Sangat Memuaskan,Tidak ada Pengaruh
04/12/2025 9:31:09,2023,Teknik Mesin,Aktif,3.00-3.50,Memuaskan,Berpengaruh Positif
04/12/2025 9:31:37,2023,Teknik Logistik,Aktif,>3.50,Memuaskan,Berpengaruh Negatif
04/12/2025 9:32:53,2024,Teknik Mesin,Aktif,>3.50,Cukup Memuaskan,Berpengaruh Positif
04/12/2025 9:42:01,2023,Teknik Perminyakan,Aktif,>3.50,Cukup Memuaskan,Berpengaruh Positif
04/12/2025 9:49:54,2023,Teknik Geofisika,Aktif,>3.50,Memuaskan,Tidak ada Pengaruh
04/12/2025 10:09:03,2023,Ilmu Komputer,Aktif,2.50-2.99,Kurang Memuaskan,Berpengaruh Positif
04/12/2025 10:53:54,2023,Ilmu Komputer,Aktif,>3.50,Sangat Memuaskan,Berpengaruh Negatif
04/12/2025 11:59:45,2023,Ilmu Komputer,Aktif,3.00-3.50,Memuaskan,Berpengaruh Positif
05/12/2025 6:53:33,2024,Teknik Geofisika,Aktif,3.00-3.50,Memuaskan,Berpengaruh Positif
05/12/2025 7:32:40,2024,Ilmu Komputer,Tidak Aktif,>3.50,Sangat Memuaskan,Berpengaruh Negatif
07/12/2025 20:00:13,2024,Teknik Lingkungan,Aktif,3.00-3.50,Cukup Memuaskan,Berpengaruh Positif
07/12/2025 20:49:23,2024,Ilmu Komputer,Aktif,>3.50,Memuaskan,Berpengaruh Positif
07/12/2025 20:50:39,2024,Teknik Elektro,Aktif,2.50-2.99,Kurang Memuaskan,Berpengaruh Positif
07/12/2025 20:51:32,2024,Ilmu Komputer,Aktif,>3.50,Memuaskan,Tidak ada Pengaruh
07/12/2025 20:53:02,2024,Ilmu Komputer,Aktif,2.50-2.99,Kurang Memuaskan,Tidak ada Pengaruh
07/12/2025 20:54:47,2024,Ilmu Komputer,Aktif,3.00-3.50,Kurang Memuaskan,Berpengaruh Positif
07/12/2025 20:58:43,2024,Ilmu Komputer,Aktif,2.50-2.99,Cukup Memuaskan,Berpengaruh Positif
07/12/2025 21:02:58,2024,Ilmu Komputer,Aktif,>3.50,Memuaskan,Berpengaruh Positif
07/12/2025 21:04:20,2024,Ilmu Komputer,Aktif,2.50-2.99,Tidak Memuaskan,Berpengaruh Positif
08/12/2025 6:54:24,2023,Komunikasi,Aktif,3.00-3.50,Cukup Memuaskan,Berpengaruh Positif
08/12/2025 8:23:54,2024,Komunikasi,Aktif,>3.50,Cukup Memuaskan,Berpengaruh Positif
08/12/2025 11:58:55,2024,Ilmu Komputer,Aktif,2.50-2.99,Memuaskan,Berpengaruh Positif
08/12/2025 12:14:48,2024,Ilmu Komputer,Aktif,2.50-2.99,Kurang Memuaskan,Berpengaruh Positif
08/12/2025 20:50:38,2024,Ilmu Komputer,Aktif,2.50-2.99,Cukup Memuaskan,Tidak ada Pengaruh
09/12/2025 20:17:53,2024,Ilmu Komputer,Aktif,>3.50,Kurang Memuaskan,Tidak ada Pengaruh
10/12/2025 10:49:09,2024,Ilmu Komputer,Aktif,2.50-2.99,Cukup Memuaskan,Berpengaruh Positif
10/12/2025 14:22:06,2022,Ilmu Komputer,Tidak Aktif,3.00-3.50,Cukup Memuaskan,Berpengaruh Positif
10/12/2025 23:02:04,2023,Ilmu Komputer,Aktif,3.00-3.50,Cukup Memuaskan,Tidak ada Pengaruh
12/12/2025 21:11:54,2022,Ilmu Komputer,Aktif,>3.50,Memuaskan,Berpengaruh Positif
14/12/2025 18:44:38,2023,Ilmu Komputer,Aktif,2.50-2.99,Kurang Memuaskan,Tidak ada Pengaruh
14/12/2025 18:51:50,2024,Ilmu Komputer,Aktif,2.50-2.99,Kurang Memuaskan,Tidak ada Pengaruh
14/12/2025 19:04:08,2024,Teknik Logistik,Aktif,3.00-3.50,Kurang Memuaskan,Berpengaruh Positif
14/12/2025 19:25:43,2024,Teknik Sipil,Aktif,3.00-3.50,Cukup Memuaskan,Tidak ada Pengaruh
14/12/2025 19:51:03,2024,Manajemen,Aktif,>3.50,Cukup Memuaskan,Berpengaruh Positif
14/12/2025 19:54:09,2022,Ilmu Komputer,Aktif,3.00-3.50,Cukup Memuaskan,Tidak ada Pengaruh
14/12/2025 19:57:28,2024,Teknik Perminyakan,Aktif,2.50-2.99,Kurang Memuaskan,Berpengaruh Positif
14/12/2025 19:58:07,2024,Teknik Sipil,Aktif,3.00-3.50,Tidak Memuaskan,Sangat Berpengaruh Positfi
14/12/2025 20:05:42,2024,Komunikasi,Tidak Aktif,>3.50,Cukup Memuaskan,Berpengaruh Negatif
14/12/2025 20:08:50,2023,Teknik Perminyakan,Aktif,2.50-2.99,Kurang Memuaskan,Berpengaruh Positif
14/12/2025 20:14:38,2023,Teknik Logistik,Aktif,>3.50,Memuaskan,Berpengaruh Positif
14/12/2025 20:18:26,2024,Teknik Sipil,Aktif,>3.50,Sangat Memuaskan,Berpengaruh Positif
14/12/2025 20:47:58,2023,Teknik Kimia,Aktif,>3.50,Tidak Memuaskan,Berpengaruh Positif
14/12/2025 21:07:02,2024,Teknik Geologi,Aktif,3.00-3.50,Memuaskan,Sangat Berpengaruh Positfi
14/12/2025 21:35:55,2024,Manajemen,Tidak Aktif,>3.50,Memuaskan,Tidak ada Pengaruh
